code_snippet,error_name,bug_present
"a = 'hello'
b = a + 5",TypeError,True
"a = 'hello'
b = a + 5",TypeError,True
"def add(a, b):
    return a + b
print(add(2, 3))",None,False
"import os
os.remove('non_existent_file.txt')",FileNotFoundError,True
"lst = [1, 2, 3]
lst.remove(5)",ValueError,True
"import numpy as np
arr = np.array([1, 2, 3])
print(arr[5])",IndexError,True
"d = {'a': 1, 'b': 2}
print(d['c'])",KeyError,True
"with open('file.txt', 'w') as f:
    f.write('Hello')
print(f.closed)",None,False
"def add(a, b):
    return a + b
print(add(2, 3))",None,False
"with open('file.txt', 'w') as f:
    f.write('Hello')
print(f.closed)",None,False
"lst = [1, 2, 3]
lst.remove(5)",ValueError,True
print('Hello World'),None,False
"import datetime
d = datetime.datetime.strptime('2023-13-01', '%Y-%m-%d')",ValueError,True
print('Hello World'),None,False
print('Hello World'),None,False
x = '5' + 3,TypeError,True
"import json
data = json.loads('{name: John, age: 30}')",JSONDecodeError,True
print('Hello World'),None,False
"for i in range(3):
print(i)",IndentationError,True
"with open('file.txt', 'w') as f:
    f.write('Hello')
print(f.closed)",None,False
"for i in range(5):
    print(i)",None,False
"import json
data = json.loads('{name: John, age: 30}')",JSONDecodeError,True
"import datetime
d = datetime.datetime.strptime('2023-13-01', '%Y-%m-%d')",ValueError,True
"def add(a, b):
    return a + b
print(add(2, 3))",None,False
x = int('abc'),ValueError,True
"import json
data = json.loads('{name: John, age: 30}')",JSONDecodeError,True
x = '5' + 3,TypeError,True
x = '5' + 3,TypeError,True
x = '5' + 3,TypeError,True
"with open('file.txt', 'w') as f:
    f.write('Hello')
print(f.closed)",None,False
"for i in range(5):
    print(i)",None,False
"d = {'a': 1, 'b': 2}
print(d['c'])",KeyError,True
"def add(a, b):
    return a + b
print(add(2, 3))",None,False
"def add(a, b):
    return a + b
print(add(2, 3))",None,False
"lst = [1, 2, 3]
lst.remove(5)",ValueError,True
"for i in range(3):
print(i)",IndentationError,True
"d = {'a': 1, 'b': 2}
print(d['c'])",KeyError,True
"x = 10
y = x / 0",ZeroDivisionError,True
print('Hello World'),None,False
"import math
print(math.sqrt(16))",None,False
"import math
print(math.sqrt(16))",None,False
"x = 10
y = x / 0",ZeroDivisionError,True
"d = {'a': 1, 'b': 2}
print(d['c'])",KeyError,True
x = '5' + 3,TypeError,True
x = int('abc'),ValueError,True
"import os
os.remove('non_existent_file.txt')",FileNotFoundError,True
"numbers = [1, 2, 3]
print(numbers[3])",IndexError,True
"numbers = [1, 2, 3]
print(numbers[3])",IndexError,True
"d = {'a': 1, 'b': 2}
print(d['c'])",KeyError,True
"for i in range(3):
print(i)",IndentationError,True
"d = {'a': 1, 'b': 2}
print(d['c'])",KeyError,True
"for i in range(5):
    print(i)",None,False
"numbers = [1, 2, 3]
print(numbers[3])",IndexError,True
"import json
data = json.loads('{name: John, age: 30}')",JSONDecodeError,True
"def add(a, b):
    return a + b
print(add(2, 3))",None,False
x = int('abc'),ValueError,True
"import json
data = json.loads('{name: John, age: 30}')",JSONDecodeError,True
"lst = [1, 2, 3]
lst.remove(5)",ValueError,True
"import math
print(math.sqrt(16))",None,False
"for i in range(3):
print(i)",IndentationError,True
print('Hello World'),None,False
x = '5' + 3,TypeError,True
"for i in range(3):
print(i)",IndentationError,True
"import math
print(math.sqrt(16))",None,False
"import json
data = json.loads('{name: John, age: 30}')",JSONDecodeError,True
print('Hello World'),None,False
"for i in range(3):
print(i)",IndentationError,True
"import math
print(math.sqrt(16))",None,False
"x = 10
y = x / 0",ZeroDivisionError,True
"for i in range(5):
    print(i)",None,False
"from math import sqrt
print(sqrt(-1))",ValueError,True
"import json
data = json.loads('{name: John, age: 30}')",JSONDecodeError,True
"for i in range(3):
print(i)",IndentationError,True
"a = 'hello'
b = a + 5",TypeError,True
"import math
print(math.sqrt(16))",None,False
"def add(a, b):
    return a + b
print(add(2, 3))",None,False
"open('non_existent_file.txt', 'r')",FileNotFoundError,True
"import os
os.remove('non_existent_file.txt')",FileNotFoundError,True
"open('non_existent_file.txt', 'r')",FileNotFoundError,True
"a = 'hello'
b = a + 5",TypeError,True
print('Hello World'),None,False
x = int('abc'),ValueError,True
"x = 10
y = x / 0",ZeroDivisionError,True
"import os
os.remove('non_existent_file.txt')",FileNotFoundError,True
"for i in range(5):
    print(i)",None,False
"def add(a, b):
    return a + b
print(add(2, 3))",None,False
"from math import sqrt
print(sqrt(-1))",ValueError,True
"import math
print(math.sqrt(16))",None,False
